Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;00:25:00:FF:94:73;;6;No;OPN,None;No;-1.0;0;0;0;4;0;0;4;;;Fri Dec 20 21:50:15 2024;Fri Dec 20 21:52:34 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Android s10+;DE:4E:9E:06:BD:41;;6;No;WPA2,AES-CCM;No;130.0;0;15;0;6;0;0;6;;;Fri Dec 20 21:50:15 2024;Fri Dec 20 21:52:02 2024;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;08:9D:F4:89:69:35;;6;No;OPN,None;No;-1.0;0;0;0;66;0;0;66;;;Fri Dec 20 21:50:16 2024;Fri Dec 20 21:50:21 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;;04:F0:21:24:2B:11;;6;No;OPN,None;No;-1.0;0;0;0;3;0;0;3;;;Fri Dec 20 21:50:17 2024;Fri Dec 20 21:52:34 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.10.5.182;
5;infrastructure;;06:A0:68:AD:F3:0E;;6;No;WPA,None;No;-1.0;0;0;0;1;0;0;1;;;Fri Dec 20 21:50:21 2024;Fri Dec 20 21:52:12 2024;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;8C:97:EA:9C:91:80;;6;No;WPA,None;No;-1.0;0;0;0;4;0;0;4;;;Fri Dec 20 21:50:55 2024;Fri Dec 20 21:50:55 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;F8:08:4F:2C:F6:30;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Dec 20 21:51:11 2024;Fri Dec 20 21:51:11 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;DIRECT-87-HP OfficeJet Pro 8120e;2E:58:B9:2A:F6:87;;6;No;WPA2,AES-CCM;No;65.0;0;1;0;0;0;0;0;;;Fri Dec 20 21:51:15 2024;Fri Dec 20 21:51:16 2024;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;04:F0:21:4C:E9:74;;6;No;OPN,None;No;-1.0;0;0;0;1;0;0;1;;;Fri Dec 20 21:51:21 2024;Fri Dec 20 21:51:21 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.54.5.112;
10;infrastructure;_SNCF_WIFI_INOUI;04:F0:21:4C:51:D0;;6;No;OPN,None;No;195.0;0;1;0;0;0;0;0;;;Fri Dec 20 21:51:22 2024;Fri Dec 20 21:51:22 2024;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;;04:F0:21:32:46:8B;;6;No;OPN,None;No;-1.0;0;0;0;14;0;0;14;;;Fri Dec 20 21:51:24 2024;Fri Dec 20 21:51:24 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.3.5.176;
